"What topics does '🕉️ Philosophy & Doctrine — The Eternal Foundation' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/00-Index.md — covers: 📜 Contents
"What topics does '🪔 The Eternal Mindset' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/01-The-Eternal-Mindset.md — covers: I. THE FUNDAMENTAL TRUTH; II. THE FIVE PILLARS OF THE ALGORITHMIC MIND; III. THE THREE LIES YOU MUST UNLEARN; IV. THE BHAGAVAD GEETA OF DSA; V. THE FOUR STAGES OF UNDERSTANDING; VI. THE GRANDMASTER'S DAILY VOW; VII. THE FIVE ENEMIES; VIII. THE SACRED LOOP; IX. THE PROMISE OF THE CODEX; X. THE OPENING MANTRA
"What topics does '🔬 The Doctrine of First Principles' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/02-The-Doctrine-of-First-Principles.md — covers: I. WHAT FIRST-PRINCIPLES THINKING IS; II. WHY MOST PEOPLE NEVER ESCAPE MEMORIZATION; III. THE FIVE QUESTIONS OF FIRST PRINCIPLES; IV. THE ATOMIC TRUTHS OF DSA; V. THE METHOD OF DERIVATION; VI. EXAMPLE DERIVATION: KMP from First Principles; VII. THE FIRST-PRINCIPLES TEST; VIII. THE LAW
"What topics does '⚔️ The Grandmaster Code — 21 Commandments' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/03-The-Grandmaster-Code.md — covers: I. THE COMMANDMENTS; II. THE DAILY DISCIPLINE; III. THE SACRED TOOLS; IV. THE RANK PROGRESSION; V. THE FINAL COMMANDMENT
"What topics does '🛤️ The Path of Mastery — Stages of Skill Acquisition' cover, and where does it live?","DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/04-The-Path-of-Mastery.md — covers: I. THE DREYFUS MODEL APPLIED TO DSA; II. THE 10,000-HOUR LIE & TRUTH; III. THE FOUR PHASES OF EVERY NEW SKILL; IV. THE PATTERN LIBRARY GROWTH CURVE; V. PLATEAUS — THE GREAT TEACHERS; VI. THE MENTAL DISTANCE METRIC; VII. THE WALK-RUN-FLY PARABLE; VIII. THE COMPOUNDING EQUATION; IX. THE TIMEBOX-BREAKTHROUGH RHYTHM; X. THE FINAL TRUTH"
"What topics does '☠️ The Anti-Patterns — What Kills Progress' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/05-The-Anti-Patterns.md — covers: ⚠️ The 21 Career-Killing Anti-Patterns; 🛑 The Three Mortal Sins; 🩹 The Recovery Protocol; 🔮 The Self-Audit (Weekly Sunday Ritual)
"What topics does '🗡️ The War Manual — Sun Tzu for Problem Solvers' cover, and where does it live?","DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/06-The-War-Manual.md — covers: I. KNOW THY PROBLEM, KNOW THYSELF; II. THE FIVE FACTORS OF VICTORY; III. THE ART OF DECEPTION (Problem-Setter's Tactics); IV. THE FIVE WAYS TO ATTACK A NEW PROBLEM; V. THE OODA LOOP FOR PROBLEM SOLVING; VI. THE 36 STRATAGEMS (Selected for DSA); VII. THE FIVE SINS OF GENERALSHIP (Sun Tzu); VIII. THE WAR ROOM (Your Setup); IX. CONTEST WARFARE; X. THE FINAL WAR MAXIM"
"What topics does '📿 The Geeta of Problem Solving' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/07-The-Geeta-of-Problem-Solving.md — covers: अध्याय १ — The Chapter of Despair (Arjuna Vishada Yoga); अध्याय २ — The Chapter of Karma (Karma Yoga); अध्याय ३ — The Chapter of Knowledge (Jnana Yoga); अध्याय ४ — The Chapter of Renunciation (Sannyasa Yoga); अध्याय ५ — The Chapter of Meditation (Dhyana Yoga); अध्याय ६ — The Chapter of Devotion (Bhakti Yoga); अध्याय ७ — The Chapter of Discipline (Niyama Yoga); अध्याय ८ — The Chapter of the Eternal (Aksara Brahma Yoga); THE 18 ETERNAL VERSES OF PROBLEM SOLVING; THE FOUR ASHRAMAS OF A CODER'S LIFE; THE FINAL VERSE
"What topics does '🧘 The Discipline System — Daily Practice Doctrine' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/08-The-Discipline-System.md — covers: I. THE CORE TENET; II. THE DAILY MINIMUM (Non-Negotiable); III. THE OPTIMAL DAILY ROUTINE (3 Hours); IV. THE WEEKLY RHYTHM; V. THE MONTHLY CYCLE; VI. THE QUARTERLY MILESTONE; VII. THE YEARLY DOCTRINE; VIII. ENERGY MANAGEMENT; IX. THE ENVIRONMENT DESIGN; X. HABIT STACKING; XI. DEALING WITH SETBACKS; XII. THE 90-MINUTE LAW
"What topics does '🪜 The 11-Level Mastery Ladder' cover, and where does it live?",DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/00-Index.md — covers: 📜 The Ladder; 📈 Approximate Time Investment; ⚖️ The Skip-Level Rule; 🧭 The Journey Begins
"What topics does '🌱 Level 0 — Programming Foundations (The Genesis)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-00-Programming-Foundations.md — covers: 🎯 OUTCOME (After completing this level); 📚 PREREQUISITE; 🧱 CURRICULUM (8 Modules, ~50 hours); 📊 PROBLEM VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST (Pass to advance); 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '🌿 Level 1 — Beginner DSA (The First Steps)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-01-Beginner-DSA.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🧱 CURRICULUM (12 Modules, ~80 hours); 📊 PROBLEM VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST; 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '🌳 Level 2 — Academic / B.Tech DSA (The Scholar)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-02-Academic-DSA.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🧱 CURRICULUM (16 Modules, ~200 hours); 📊 PROBLEM VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST; 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '🎯 Level 3 — Placement DSA (The Job-Ready Engineer)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-03-Placement-DSA.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🧱 CURRICULUM (12 Modules, ~250 hours); 📊 PROBLEM VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST; 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '🦄 Level 4 — Product-Based DSA (The Unicorn-Ready)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-04-Product-Based-DSA.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🧱 CURRICULUM (10 Modules, ~300 hours); 📊 PROBLEM VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST; 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '👑 Level 5 — FAANG / MAANG DSA (The FAANG Crusher)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-05-FAANG-DSA.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🧱 CURRICULUM (12 Modules, ~400 hours); 📊 PROBLEM VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST; 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '⚔️ Level 6 — Competitive Programming (The Codeforces Warrior)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-06-Competitive-Programming.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🧱 CURRICULUM (15 Modules, ~600 hours); 📊 PROBLEM VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST; 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '🌌 Level 7 — Elite Competitive Programming (The Grandmaster Aspirant)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-07-Elite-CP.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🧱 CURRICULUM (15 Modules, ~1000 hours); 📊 PROBLEM VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST; 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '🏗️ Level 8 — Algorithm Engineering (The Production Architect)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-08-Algorithm-Engineering.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🧱 CURRICULUM (10 Modules, ~800 hours); 📊 PROJECT & PROBLEM VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST; 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '🔬 Level 9 — Research-Level Algorithms (The Researcher)' cover, and where does it live?","DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-09-Research-Level.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🧱 CURRICULUM (8 Modules, ~1500 hours); 📊 RESEARCH OUTPUT VOLUME; ⏱️ ESTIMATED TIME; ✅ EXIT TEST; 📌 RESOURCES; 🚀 ON COMPLETION"
"What topics does '🌠 Level 10 — Algorithm Designer / Grandmaster (The Inventor)' cover, and where does it live?",DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-10-Algorithm-Designer.md — covers: 🎯 OUTCOME; 📚 PREREQUISITE; 🌌 THE NATURE OF THIS LEVEL; 🪞 THE FIVE ARCHETYPES; 🔮 PRACTICES OF THE GRANDMASTER; 🎯 THE TEN HARDEST PROBLEMS YOU MIGHT TACKLE; 📖 YOUR LIBRARY (Lifetime Reading); 🏛️ THE ETERNAL TRUTH; 🪔 YOUR FINAL VOW; 🌅 THE BEGINNING
"What topics does '🌱 Programming Foundations Universe' cover, and where does it live?",DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/00-Index.md — covers: 📚 Contents
"What topics does '🧠 Computational Thinking' cover, and where does it live?",DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/01-Computational-Thinking.md — covers: I. THE FOUR PILLARS OF COMPUTATIONAL THINKING; II. THE MIND OF A COMPUTER; III. THE ALGORITHMIC MINDSET; IV. THE PROBLEM TRANSLATION HIERARCHY; V. ESSENTIAL HABITS; VI. THE COMPUTATIONAL UNCONSCIOUS; VII. EXERCISE: TRANSLATE ENGLISH → MATH; VIII. RECOMMENDED READING
"What topics does '🧠 Memory Models — Where Data Lives' cover, and where does it live?","DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/02-Memory-Models.md — covers: I. THE MEMORY HIERARCHY; II. STACK vs HEAP; III. CACHE LINES & LOCALITY; IV. ARRAY vs LINKED LIST: A MEMORY STORY; V. THE C++ MEMORY MODEL; VI. POINTERS, REFERENCES, AND OWNERSHIP; VII. THE STACK FRAME; VIII. MEMORY ALIGNMENT; IX. THE COST OF ALLOCATION; X. WHAT THIS MEANS FOR ALGORITHMS; XI. RECOMMENDED READING"
"What topics does '🎭 Programming Paradigms' cover, and where does it live?",DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/03-Programming-Paradigms.md — covers: I. WHAT IS A PARADIGM?; II. THE FIVE MAJOR PARADIGMS; III. KEY DIFFERENCES; IV. WHY PARADIGM MATTERS FOR DSA; V. RECURSION: THE FUNCTIONAL BRIDGE; VI. PARADIGM POLYGLOT — WHAT TO LEARN; VII. PARADIGM IN CP; VIII. THE GRANDMASTER'S MULTI-PARADIGM MIND; IX. RECOMMENDED READING
"What topics does '🌀 Recursion Thinking — The Self-Similar Mind' cover, and where does it live?",DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/04-Recursion-Thinking.md — covers: I. THE ESSENCE; II. THE INDUCTION VIEW; III. THE LEAP OF FAITH; IV. RECURSION TREES; V. THE CALL STACK; VI. RECURSIVE PATTERNS; VII. WRITING RECURSION — A PROCEDURE; VIII. RECURSION VS ITERATION; IX. TAIL RECURSION; X. COMMON BUGS; XI. RECURSION → DP; XII. RECURSION → BACKTRACKING
"What topics does '🎚️ State Modeling — The Bookkeeping of Reality' cover, and where does it live?",DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/05-State-Modeling.md — covers: I. WHAT IS STATE?; II. STATE IN DSA; III. THE STATE-DESIGN TEMPLATE; IV. STATE EXPLOSION & COMPRESSION; V. INVARIANTS; VI. MUTATION VS IMMUTABILITY; VII. STATE MACHINES; VIII. STATE IN GRAPH SEARCH; IX. EXERCISE: IDENTIFY THE STATE; X. THE FIVE STATE-DESIGN PRINCIPLES; XI. THE FINAL TRUTH
"What topics does '📈 Complexity Thinking — The Asymptotic Worldview' cover, and where does it live?","DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/06-Complexity-Thinking.md — covers: I. WHY COMPLEXITY MATTERS; II. BIG-O, BIG-Ω, BIG-Θ; III. THE COMPLEXITY ZOO; IV. THE CONSTRAINT-COMPLEXITY MAP; V. THE MASTER THEOREM; VI. AMORTIZED ANALYSIS; VII. SPACE COMPLEXITY; VIII. AVERAGE VS WORST VS BEST CASE; IX. ANALYZING NESTED LOOPS; X. RECURRENCE COMPLEXITY (without Master Theorem); XI. TIPS FOR ESTIMATING COMPLEXITY ON THE FLY; XII. RECOMMENDED READING"
"What topics does '➗ Mathematics for Programmers' cover, and where does it live?",DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/07-Mathematics-for-Programmers.md — covers: I. THE TOOLKIT (TOP 30); II. THE CRUCIAL FORMULAS; III. THE PIGEONHOLE PRINCIPLE; IV. INCLUSION-EXCLUSION; V. LINEARITY OF EXPECTATION (the secret weapon); VI. PROOF TECHNIQUES; VII. THE INDUCTION-RECURSION CORRESPONDENCE; VIII. EXERCISES; IX. RECOMMENDED READING
